game_pk,home,away
746789,1,4
746790,1,3
746791,2,7
746792,6,8
746793,4,6
746794,3,5
746795,2,0
746796,3,6
746797,3,1
746798,0,7
746799,4,0
746800,5,10
746801,6,3
746802,3,2
746803,6,7
746804,2,3
746805,4,2
746806,5,6
746807,2,4
746808,9,4
746809,2,1
746810,4,11
746811,0,5
746812,1,11
746813,0,2
746814,3,2
746815,2,3
746816,1,0
746817,0,9
746818,6,7
746819,3,0
746820,0,3
746821,0,1
746822,1,0
746823,7,6
746824,3,1
746825,5,0
746826,1,5
746827,2,1
746828,9,2
746829,0,2
746830,3,4
746831,3,5
746832,0,3
746833,3,5
746834,0,5
746835,12,0
746836,10,2
746837,2,8
746838,0,1
746839,3,1
746840,7,3
746841,3,2
746842,8,2
746843,5,5
746844,6,2
746845,6,3
746846,4,5
746847,0,3
746848,0,1
746849,4,4
746850,3,1
746851,2,3
746852,0,3
746853,1,1
746854,2,5
746855,5,0
746856,0,7
746857,10,2
746858,3,5
746859,5,1
746860,4,6
746861,1,11
746862,2,5
746863,8,1
746864,6,5
746865,5,1
746866,1,2
746867,5,2
746868,6,7
746869,0,3
746870,7,5
746871,2,5
746872,7,6
746873,6,6
746874,0,3
746875,3,3
746876,2,9
746877,4,5
746878,3,9
746879,0,3
746880,2,3
746881,4,5
746882,0,0
746883,5,0
746884,6,5
746885,2,2
746886,3,6
746887,3,1
746888,7,2
746889,4,3
746890,1,3
746891,5,3
746892,8,3
746893,2,3
746894,3,6
746895,8,1
746896,1,4
746897,9,7
746898,12,2
746899,5,0
746900,9,8
746901,3,1
746902,2,7
746903,8,1
746904,1,2
746905,2,4
746906,9,3
746907,3,5
746908,2,3
746909,12,3
746910,2,7
746911,7,5
746912,3,1
746913,3,0
746914,0,2
746915,3,7
746916,6,3
746917,1,4
746918,5,7
746919,7,9
746920,2,12
746921,4,4
746922,4,5
746923,2,10
746924,9,4
746925,2,2
746926,6,10
746927,4,8
746928,14,7
746929,2,8
746930,5,0
746931,8,11
746932,5,4
746933,9,7
746934,2,5
746935,7,0
746936,1,6
746937,12,9
746938,4,1
746939,2,9
746940,1,11
746941,6,6
746942,1,4
746943,4,9
746944,9,3
746945,9,3
746946,8,4
746947,1,8
746948,8,6
746949,3,8
746950,9,0
746951,1,4
746952,6,3
746953,4,8
746954,0,5
746955,7,3
746956,2,7
746957,2,1
746958,3,6
746959,5,7
746960,3,4
746961,3,5
746962,4,4
746963,4,2
746964,1,5
746965,3,2
746966,6,2
746967,4,4
746968,4,0
746969,1,3
746970,4,5
746971,17,0
746972,1,7
746973,2,0
746974,0,6
746975,5,4
746976,7,10
746977,4,9
746978,0,7
746979,7,2
746980,5,7
746981,1,7
746982,3,4
746983,4,6
746984,7,1
746985,3,3
746986,1,7
746987,0,10
746988,3,5
746989,0,2
746990,1,8
746991,9,0
746992,13,3
746993,2,0
746994,3,6
746995,7,5
746996,3,2
746997,1,5
746998,0,6
746999,4,2
747000,4,1
747001,10,12
747002,5,1
747003,10,4
747004,3,9
747005,6,2
747006,4,9
747007,11,5
747008,8,6
747009,4,5
747010,4,6
747011,0,8
747012,1,4
747013,1,6
747014,2,9
747015,0,4
747016,2,11
747017,2,1
747018,6,5
747019,4,2
747020,11,2
747021,2,3
747022,8,10
747023,8,3
747024,6,2
747025,3,5
747026,3,6
747027,4,0
747028,4,2
747029,9,5
747030,3,4
747031,6,1
747032,3,1
747033,3,8
747034,11,3
747035,6,3
747036,3,4
747037,9,2
747038,1,2
747039,4,8
747040,2,3
747041,4,4
747042,2,9
747043,4,2
747044,7,2
747045,6,7
747046,2,0
747047,4,2
747048,0,2
747049,2,2
747050,2,3
747051,11,3
747052,7,0
747053,7,4
747054,5,11
747055,1,11
747056,6,4
747057,1,4
747058,4,4
747059,2,3
747060,11,3
747061,2,4
747062,1,4
747063,13,4
747064,3,0
747065,3,0
747066,1,1
747067,0,9
747068,5,1
747069,6,2
747070,10,1
747071,2,9
747072,3,3
747073,1,3
747074,3,1
747075,5,2
747076,5,9
747077,4,2
747078,1,5
747079,3,0
747080,2,2
747081,7,16
747082,3,2
747083,3,1
747084,2,3
747085,5,8
747086,0,10
747087,3,4
747088,0,7
747089,5,3
747090,0,1
747091,4,9
747092,4,2
747093,2,2
747094,2,6
747095,1,4
747096,5,9
747097,6,8
747098,6,0
747099,5,1
747100,3,1
747101,2,4
747102,3,5
747103,2,4
747104,1,1
747105,6,1
747106,7,0
747107,2,1
747108,2,1
747109,6,8
747110,3,1
747111,9,11
747112,7,3
747113,9,2
747114,1,3
747115,2,0
747116,4,2
747117,2,7
747118,4,8
747119,5,6
747120,1,9
747121,3,0
747122,1,3
747123,1,7
747124,7,0
747125,3,3
747126,4,2
747127,5,0
747128,2,0
747129,6,2
747130,5,0
747131,2,4
747132,3,3
747133,4,6
747134,3,0
747135,5,2
747136,8,3
747137,4,16
747138,6,5
747139,7,8
747140,9,8
747141,5,2
747142,7,8
747143,5,5
747144,8,2
747145,3,5
747146,0,5
747147,11,2
747148,8,15
747149,0,11
747150,3,6
747151,10,10
747152,6,0
747153,1,2
747154,14,4
747155,6,11
747156,9,10
747157,14,3
747158,6,8
747159,2,3
747160,2,3
747161,8,5
747162,3,8
747163,11,4
747164,11,1
747165,5,4
747166,12,5
747167,17,0
747168,2,2
747169,4,6
747170,5,4
747171,9,5
747172,7,8
747173,5,6
747174,4,3
747175,4,4
747176,7,8
747177,12,1
747178,1,0
747179,7,5
747180,2,6
747181,4,5
747182,5,1
747183,4,9
747184,3,8
747185,6,13
747186,3,0
747187,2,9
747188,5,4
747189,12,5
747190,9,4
747191,7,1
747192,11,1
747193,3,8
747194,2,2
747195,3,9
747196,8,5
747197,1,3
747198,6,4
747199,3,2
747200,0,3
747201,0,13
747202,3,8
747203,2,1
747204,4,5
747205,2,6
747206,11,4
747207,0,8
747208,1,7
747209,1,13
747210,2,3
747211,4,8
747212,3,5
747213,2,3
747214,11,11
747215,4,2
747216,5,0
747217,6,9
747218,2,5
747219,5,6
747220,7,0
747221,4,9
747222,5,1
747223,7,3
747224,16,1
775294,4,2
775296,6,7
775297,11,4
775298,2,4
775299,12,6
775300,2,3
775302,10,5
775303,2,10
775305,0,8
775306,3,7
775307,9,0
775309,2,5
775310,5,5
775311,6,8
775312,6,3
775313,4,1
775314,5,2
775316,7,2
775317,2,0
775318,2,6
775319,6,6
775320,0,8
775321,6,5
775322,2,10
775323,7,5
775324,7,0
775325,0,3
775326,7,3
775327,4,5
775328,3,0
775329,2,3
775331,1,3
775332,2,4
775333,4,0
775334,6,5
775336,5,4
775337,2,4
775339,5,3
775340,4,8
775341,1,2
775343,0,1
775344,2,5
775345,1,3
